player,passes,successful_passes,pass_accuracy,shots,goals,dribbles,pressures,interceptions,ball_recoveries,duels,blocks,fouls_won,fouls_committed,cluster,role
Robert Ibáñez Castro,11.11111111111111,8.833333333333334,79.44888888888889,0.5555555555555556,0.0,1.1666666666666667,7.388888888888889,0.3333333333333333,3.0555555555555554,1.3888888888888888,0.8888888888888888,1.5,0.4444444444444444,0,Defender
Roberto Antonio Correa Silva,40.42857142857143,31.857142857142858,76.33142857142857,0.0,0.0,0.7142857142857143,9.714285714285714,1.0,4.714285714285714,2.857142857142857,1.5714285714285714,0.5714285714285714,1.5714285714285714,4,Utility
Roberto Canella Suárez,37.44444444444444,27.22222222222222,71.56666666666666,0.0,0.0,0.5555555555555556,13.11111111111111,2.0,2.4444444444444446,3.5555555555555554,1.5555555555555556,1.0,1.3333333333333333,4,Utility
Roberto José Rosales Altuve,49.0,35.371428571428574,71.816,0.5142857142857142,0.0,1.5142857142857142,12.571428571428571,1.9428571428571428,5.714285714285714,4.314285714285714,2.5142857142857142,1.1428571428571428,1.1142857142857143,1,Midfielder
Roberto Lago Soto,39.411764705882355,31.294117647058822,79.8564705882353,0.2352941176470588,0.0,1.1764705882352942,12.470588235294118,2.0588235294117645,2.411764705882353,3.1176470588235294,1.411764705882353,0.8823529411764706,1.5294117647058822,4,Utility
Roberto Román Triguero,44.62068965517241,34.793103448275865,78.31241379310345,0.4137931034482758,0.0344827586206896,0.8620689655172413,12.10344827586207,1.5862068965517242,3.310344827586207,3.724137931034482,2.1724137931034484,1.3448275862068966,1.3793103448275863,1,Midfielder
Roberto Soldado Rillo,29.214285714285715,19.571428571428573,66.45107142857144,1.4642857142857142,0.1785714285714285,1.6428571428571428,12.642857142857142,0.6071428571428571,2.642857142857143,3.892857142857143,1.1428571428571428,2.5,1.8928571428571428,2,Attacker
Roberto Suárez Pier,21.0,17.5,84.285,0.5,0.0,0.0,3.5,1.0,0.5,0.5,0.0,0.0,0.0,0,Defender
Roberto Trashorras Gayoso,74.44444444444444,60.833333333333336,80.04805555555555,0.9166666666666666,0.0833333333333333,1.6388888888888888,12.88888888888889,1.25,5.972222222222222,3.138888888888889,1.1944444444444444,2.3333333333333335,1.4722222222222223,1,Midfielder
Rodrigo Hernández Cascante,25.0,22.0,84.20333333333333,0.6666666666666666,0.0,0.3333333333333333,7.666666666666667,1.0,3.3333333333333335,2.3333333333333335,1.6666666666666667,0.3333333333333333,0.3333333333333333,4,Utility
Rodrigo Javier De Paul,31.0,21.555555555555557,69.41444444444444,1.1111111111111112,0.0,3.2222222222222223,15.77777777777778,0.8888888888888888,3.7777777777777777,1.8888888888888888,1.2222222222222223,1.5555555555555556,1.0,2,Attacker
Rodrigo Moreno Machado,20.92,14.68,64.19,1.52,0.08,1.84,9.92,0.8,2.4,2.24,0.92,1.08,0.68,0,Defender
Roger Martí Salvador,8.125,4.875,63.49375,1.3125,0.0,0.5625,9.5,0.0625,1.5,2.4375,0.3125,0.6875,1.5,0,Defender
